ID,Grupa,3_s_wzg,4_s_wzg,5_s_wzg,6_s_wzg,7_s_wzg,8_s_wzg,9_s_wzg,10_s_wzg,3_s_bez,4_s_bez,5_s_bez,6_s_bez,7_s_bez,8_s_bez,9_s_bez,10_s_bez
21,niemuzyk,0.7412492555,0.7635390083,0.8004452933,0.8544559778,0.8868126524,0.8359329375,0.8501692296,0.9573453633,0.7762522334,0.9750617666,0.9977735333,0.8732641333,0.7923114333,1.3125365000,1.3484769334,1.7303557000
22,niemuzyk,0.8289515111,0.9435613417,0.9113490267,0.9656544667,0.9804309190,0.6319888625,0.5571239815,0.8958413767,0.5131454667,0.2257546334,0.4432548667,0.2060732000,0.4877025667,2.9440891000,3.9858841666,1.0415862333
23,niemuzyk,0.7817531333,0.6430096500,0.8873823200,0.9707408389,0.8437802238,0.8781973292,0.8943023852,0.9292402367,0.6547406000,1.4279614000,0.5630884000,0.5941746333,1.0935384334,1.0177333667,0.9512785333,0.9164946333
24,niemuzyk,0.9530459667,0.9909560917,0.9759936733,0.9805521444,0.9337949429,0.9548803708,0.9486123259,0.9926146833,0.1657830334,0.2505624333,0.1373038333,0.2261923333,0.4634354000,0.3609570334,0.4624890667,0.2448297667
25,niemuzyk,1.0164840333,0.9789877583,0.9088467333,0.9493339667,0.9556400333,0.9169466292,1.0039073593,0.9063139867,0.1035383667,0.0967559000,0.4557663333,0.3241478001,0.4239589001,0.6644269667,0.0572595000,0.9368601333
26,niemuzyk,0.9484972555,0.9819427500,0.9371913800,0.8927623000,0.9143061762,1.0173464542,0.9652032852,0.9979293033,0.1545082334,0.1489772000,0.3326227667,0.6434262000,0.5998567666,0.1387716333,0.3131704333,0.2131503667
27,niemuzyk,0.7685916666,0.8138417500,0.9336452467,0.9037031889,0.8459222667,0.8720713042,0.9241409037,0.9018999900,0.6942250001,0.7446330000,0.5977435001,0.5777808666,1.0785441333,1.0234295666,0.6827318666,0.9810001000
28,niemuzyk,0.9791182222,0.8392045917,0.8161028867,0.9145442611,1.2629277905,0.9077753792,0.8205145037,0.6731808267,0.2653964000,0.6431816333,0.9194855667,1.0095191668,3.0559433333,1.4332078333,1.6153694667,3.2681917334
29_1,niemuzyk,0.9936425000,0.8785030667,0.6288302067,0.8697780500,0.9453533000,0.8692303708,0.8573421333,0.9008952533,0.0642440334,0.4859877334,1.9126185667,0.7813317000,0.5449656334,1.0461570334,1.2839208001,0.9910474667
30,niemuzyk,0.7658527667,1.1033352417,1.1154535533,1.0496989556,1.0598457381,1.0717769125,1.0231492259,0.6391877767,1.0947249668,0.4725024334,0.5772677667,0.4318467334,0.9071156333,0.8860483666,0.2083430334,3.6842579667
